image,ground_truth,drone_detected,number_of_detections,max_confidence
0_AB_MENN020719MILITARYHELICOPTERS02_jpg.rf.a38a4cf418978e5fd1f6c423d7ef36a1.jpg,helicopter,True,1,0.7319
bird-189347_960_720_jpg.rf.1737fd8589b092417319283450a3e0cd.jpg,bird,True,1,0.6378
bird16_jpg.rf.1822c42218ba95873f59c13893002345.jpg,bird,True,2,0.2989
bird16_jpg.rf.cf0a5e79879ce62d14287ba15dba75e3.jpg,bird,True,1,0.5203
bird20_jpg.rf.77a2d61d63ddf3ef4720dafb245795f3.jpg,bird,True,2,0.4253
bird20_jpg.rf.c575f48a897d5ac74482389952128b8e.jpg,bird,True,2,0.7305
bird2_jpg.rf.1df666dd2ba9125a2ff1af21253f47c8.jpg,bird,True,1,0.3257
bird2_jpg.rf.a70237ff409ba23a35596a9d36148dc7.jpg,bird,False,0,0.0
bird40_jpg.rf.5bb4d2991865cc6685eee64f50d8f0f0.jpg,bird,True,3,0.7878
bird40_jpg.rf.bb6d67648e30c5915d3bd1df8c203d6a.jpg,bird,True,2,0.5276
bird43_jpg.rf.62b724dbf7cfc85b0b8a5a43539e9683.jpg,bird,True,1,0.5032
bird43_jpg.rf.942ecaba5a35f896187c0491735d3cb4.jpg,bird,False,0,0.0
bird4_jpg.rf.3a73e2a23802a12b093b5ae2771b4ebb.jpg,bird,True,1,0.4467
bird4_jpg.rf.62005af4a1f21ba70924de7dbdb5e641.jpg,bird,False,0,0.0
bird54_jpg.rf.2410de28ddfcf28a250b4ea562ba4d22.jpg,bird,False,0,0.0
bird54_jpg.rf.f3d2a6736c1b49affe87766920b41886.jpg,bird,False,0,0.0
bird62_jpg.rf.0724614c79af59806e082ad5192ecea0.jpg,bird,True,2,0.6052
bird62_jpg.rf.0c8e4d7b962c541fa71a1693a6034ecd.jpg,bird,False,0,0.0
bird6_jpg.rf.b62062d8a83e539afbec694765a1b617.jpg,bird,True,1,0.2761
bird6_jpg.rf.bc64400ae258de911f17c7465e839ec1.jpg,bird,True,1,0.376
camera-settings-bird-photography-holhouette-flying-bird-big-wings-sunset-sky_jpg.rf.a486ed23c951b44aeb2a87893681fab2.jpg,bird,False,0,0.0
helicopter15_jpg.rf.514b8cfbbfcb7e8f95342e9339ff562f.jpg,helicopter,True,1,0.4682
helicopter15_jpg.rf.df4220fbcc19147bccb3aeec5c209b1e.jpg,helicopter,True,1,0.4635
helicopter36_jpg.rf.19fd35eb4de7f1f093ba3af473811f14.jpg,helicopter,False,0,0.0
helicopter36_jpg.rf.595a4d86607e5911fa30024c849f12a5.jpg,helicopter,True,1,0.3929
helicopter45_jpg.rf.c0b93cbcd2fc9a142c85e3c3dcee5bd8.jpg,helicopter,False,0,0.0
helicopter45_jpg.rf.ca8e21b66d775367697c01d81e5e567f.jpg,helicopter,True,1,0.2593
helicopter4_jpeg.rf.a7357adea036ae6c7b930fba3ea8be82.jpg,helicopter,False,0,0.0
helicopter4_jpeg_jpg.rf.f336b3bcb80beb34d7f806d2c3231be9.jpg,helicopter,False,0,0.0
images--13-_jpg.rf.ee38d58de8037571638e54913c1e6fc0.jpg,plane,False,0,0.0
images--19-_jpg.rf.ddb9a258305975de0a10068b12833e3a.jpg,helicopter,True,1,0.8271
images--21-_jpg.rf.8515f4f2162a1714b96ea63976206051.jpg,plane,True,1,0.6646
md6_jpg.rf.19140c4d220c0b0263e39ba5d34b7a98.jpg,drone,True,2,0.8728
photo-1560654319-82f26a656ae9_jpg.rf.4754d5af51502190bd3747535b64fff6.jpg,bird,False,0,0.0
plane--13-_jpeg_jpg.rf.d870ea122cbb8e1de12054520300dfee.jpg,plane,False,0,0.0
plane--28-_jpeg_jpg.rf.7cede654f8fba17d43ce983181183340.jpg,plane,False,0,0.0
plane--43-_jpeg_jpg.rf.0dab9ef154448acbd851c1f553d3040c.jpg,plane,True,1,0.2941
plane--44-_jpeg_jpg.rf.4647a003598cc2d3bd43eecfedf18f4f.jpg,plane,False,0,0.0
plane--5-_jpeg_jpg.rf.c52d7cadc1e890219d47f4adcb7a9e30.jpg,plane,True,1,0.6071
plane--51-_jpeg_jpg.rf.0db81618efddb5328db844034fd4e77b.jpg,plane,True,1,0.3515
plane--56-_jpeg_jpg.rf.9c74c98877af7efec1c8dd81545f0f08.jpg,plane,True,1,0.2758
plane14_jpg.rf.be74d0be37bf1940f16178c1e421f487.jpg,plane,True,1,0.327
plane15_jpg.rf.0460cdbfa0b309ea2d5e0bb674d2e311.jpg,plane,False,0,0.0
plane16_jpg.rf.b478a10177e707fc9f2e19df8817d90e.jpg,plane,False,0,0.0
